Ссылка,Раздел,Уровень,Группа,Видимость,Родитель по полю раздел,min,max
subopts-for-2511m1547,MX 310,Level: 4,Group: 2,hidden,MX,0,0
subopts-for-2511m1547,MX 335,Level: 4,Group: 2,hidden,MX,0,0
subopts-for-2511,MXM,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511m1608,MXM 155,Level: 4,Group: 2,hidden,MXM,0,0
subopts-for-2511m1608,MXM 175,Level: 4,Group: 2,hidden,MXM,0,0
subopts-for-2511m1608,MXM 190,Level: 4,Group: 2,hidden,MXM,0,0
subopts-for-2511,MXU,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511m1663,MXU 100,Level: 4,Group: 2,hidden,MXU,0,0
subopts-for-2511m1663,MXU 110,Level: 4,Group: 2,hidden,MXU,0,0
subopts-for-2511m1663,MXU 115,Level: 4,Group: 2,hidden,MXU,0,0
subopts-for-2511m1663,MXU 125,Level: 4,Group: 2,hidden,MXU,0,0
subopts-for-2511m1663,MXU 135,Level: 4,Group: 2,hidden,MXU,0,0
subopts-for-2511,Magnum,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511m1548,Magnum 225,Level: 4,Group: 2,hidden,Magnum,0,0
subopts-for-2511m1548,Magnum 235,Level: 4,Group: 2,hidden,Magnum,0,0
subopts-for-2511m1548,Magnum 250,Level: 4,Group: 2,hidden,Magnum,0,0
subopts-for-2511m1548,Magnum 260,Level: 4,Group: 2,hidden,Magnum,0,0
subopts-for-2511m1548,Magnum 280,Level: 4,Group: 2,hidden,Magnum,0,0
subopts-for-2511m1548,Magnum 290,Level: 4,Group: 2,hidden,Magnum,0,0
subopts-for-2511m1548,Magnum 310,Level: 4,Group: 2,hidden,Magnum,0,0
subopts-for-2511m1548,Magnum 315,Level: 4,Group: 2,hidden,Magnum,0,0
subopts-for-2511m1548,Magnum 335,Level: 4,Group: 2,hidden,Magnum,0,0
subopts-for-2511m1548,Magnum 340,Level: 4,Group: 2,hidden,Magnum,0,0
subopts-for-2511m1548,Magnum 370,Level: 4,Group: 2,hidden,Magnum,0,0
subopts-for-2511m1548,Magnum 380,Level: 4,Group: 2,hidden,Magnum,0,0
subopts-for-2511m1548,Magnum MX,Level: 4,Group: 2,hidden,Magnum,0,0
subopts-for-2511,Maxxum,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511m1621,Maxxum 100,Level: 4,Group: 2,hidden,Maxxum,0,0
subopts-for-2511m1621,Maxxum 110,Level: 4,Group: 2,hidden,Maxxum,0,0
subopts-for-2511m1621,Maxxum 115,Level: 4,Group: 2,hidden,Maxxum,0,0
subopts-for-2511m1621,Maxxum 125,Level: 4,Group: 2,hidden,Maxxum,0,0
subopts-for-2511m1621,Maxxum 130,Level: 4,Group: 2,hidden,Maxxum,0,0
subopts-for-2511m1621,Maxxum 140,Level: 4,Group: 2,hidden,Maxxum,0,0
subopts-for-2511m1621,Maxxum 145,Level: 4,Group: 2,hidden,Maxxum,0,0
subopts-for-2511m1621,Maxxum 150,Level: 4,Group: 2,hidden,Maxxum,0,0
subopts-for-2511m1621,Maxxum 5120,Level: 4,Group: 2,hidden,Maxxum,0,0
subopts-for-2511m1621,Maxxum 5130,Level: 4,Group: 2,hidden,Maxxum,0,0
subopts-for-2511m1621,Maxxum 5140,Level: 4,Group: 2,hidden,Maxxum,0,0
subopts-for-2511m1621,Maxxum 5150,Level: 4,Group: 2,hidden,Maxxum,0,0
subopts-for-2511,Optum,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511m40704,Optum 270,Level: 4,Group: 2,hidden,Optum,0,0
subopts-for-2511m40704,Optum 300,Level: 4,Group: 2,hidden,Optum,0,0
subopts-for-2511,Puma,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511m1605,Puma 125,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 130,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 140,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 145,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 150,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 155,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 160,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 165,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 175,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 180,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 185,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 200,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 210,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 215,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 220,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 225,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 230,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma 240,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511m1605,Puma CVX,Level: 4,Group: 2,hidden,Puma,0,0
subopts-for-2511,Quadtrac,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511m1066,Quadtrac 470,Level: 4,Group: 2,hidden,Quadtrac,0,0
subopts-for-2511m1066,Quadtrac 485,Level: 4,Group: 2,hidden,Quadtrac,0,0
subopts-for-2511m1066,Quadtrac 500,Level: 4,Group: 2,hidden,Quadtrac,0,0
subopts-for-2511m1066,Quadtrac 580,Level: 4,Group: 2,hidden,Quadtrac,0,0
subopts-for-2511m1066,Quadtrac 600,Level: 4,Group: 2,hidden,Quadtrac,0,0
subopts-for-2511m1066,Quadtrac 620,Level: 4,Group: 2,hidden,Quadtrac,0,0
subopts-for-2511,Quantum,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511,STX,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511m1597,STX 375,Level: 4,Group: 2,hidden,STX,0,0
subopts-for-2511m1597,STX 440,Level: 4,Group: 2,hidden,STX,0,0
subopts-for-2511m1597,STX 450,Level: 4,Group: 2,hidden,STX,0,0
subopts-for-2511m1597,STX 500,Level: 4,Group: 2,hidden,STX,0,0
subopts-for-2511,Steiger,Level: 3,Group: 2,hidden,Case IH,0,0
